timestamp,total_energy
2024-07-31 21:00:00+00:00,128.48
2024-07-31 22:00:00+00:00,133.58
2024-07-31 23:00:00+00:00,93.0
2024-08-01 00:00:00+00:00,134.15
2024-08-01 01:00:00+00:00,119.47
2024-08-01 02:00:00+00:00,106.07
2024-08-01 03:00:00+00:00,137.22
2024-08-01 04:00:00+00:00,102.57
2024-08-01 05:00:00+00:00,154.37
2024-08-01 06:00:00+00:00,252.48
2024-08-01 07:00:00+00:00,158.88
2024-08-01 08:00:00+00:00,198.15
2024-08-01 09:00:00+00:00,170.4
2024-08-01 10:00:00+00:00,816.8
2024-08-01 11:00:00+00:00,234.35
2024-08-01 12:00:00+00:00,230.2
2024-08-01 13:00:00+00:00,194.2
2024-08-01 14:00:00+00:00,258.03
2024-08-01 15:00:00+00:00,173.45
2024-08-01 16:00:00+00:00,173.25
2024-08-01 17:00:00+00:00,155.85
2024-08-01 18:00:00+00:00,146.42
2024-08-01 19:00:00+00:00,328.98
2024-08-01 20:00:00+00:00,278.75
2024-08-01 21:00:00+00:00,240.13
2024-08-01 22:00:00+00:00,156.35
2024-08-01 23:00:00+00:00,108.73
2024-08-02 00:00:00+00:00,114.02
2024-08-02 01:00:00+00:00,126.73
2024-08-02 02:00:00+00:00,94.78
2024-08-02 03:00:00+00:00,136.47
2024-08-02 04:00:00+00:00,104.58
2024-08-02 05:00:00+00:00,135.45
2024-08-02 06:00:00+00:00,294.12
2024-08-02 07:00:00+00:00,251.47
2024-08-02 08:00:00+00:00,320.05
2024-08-02 09:00:00+00:00,377.72
2024-08-02 10:00:00+00:00,797.97
2024-08-02 11:00:00+00:00,208.88
2024-08-02 12:00:00+00:00,239.38
2024-08-02 13:00:00+00:00,197.12
2024-08-02 14:00:00+00:00,131.42
2024-08-02 15:00:00+00:00,114.72
2024-08-02 16:00:00+00:00,162.43
2024-08-02 17:00:00+00:00,154.32
2024-08-02 18:00:00+00:00,323.3
2024-08-02 19:00:00+00:00,304.63
2024-08-02 20:00:00+00:00,258.07
2024-08-02 21:00:00+00:00,256.8
2024-08-02 22:00:00+00:00,99.75
2024-08-02 23:00:00+00:00,112.32
2024-08-03 00:00:00+00:00,116.67
2024-08-03 01:00:00+00:00,88.52
2024-08-03 02:00:00+00:00,131.8
2024-08-03 03:00:00+00:00,113.4
2024-08-03 04:00:00+00:00,145.33
2024-08-03 05:00:00+00:00,206.58
2024-08-03 06:00:00+00:00,261.83
2024-08-03 07:00:00+00:00,219.68
2024-08-03 08:00:00+00:00,515.25
2024-08-03 09:00:00+00:00,733.78
2024-08-03 10:00:00+00:00,137.98
2024-08-03 11:00:00+00:00,103.07
2024-08-03 12:00:00+00:00,153.83
2024-08-03 13:00:00+00:00,187.95
2024-08-03 14:00:00+00:00,215.3
2024-08-03 15:00:00+00:00,204.18
2024-08-03 16:00:00+00:00,165.0
2024-08-03 17:00:00+00:00,338.52
2024-08-03 18:00:00+00:00,317.92
2024-08-03 19:00:00+00:00,323.87
2024-08-03 20:00:00+00:00,302.1
2024-08-03 21:00:00+00:00,173.13
2024-08-03 22:00:00+00:00,98.33
2024-08-03 23:00:00+00:00,103.75
2024-08-04 00:00:00+00:00,110.45
2024-08-04 01:00:00+00:00,103.45
2024-08-04 02:00:00+00:00,105.42
2024-08-04 03:00:00+00:00,113.77
2024-08-04 04:00:00+00:00,106.48
2024-08-04 05:00:00+00:00,124.37
2024-08-04 06:00:00+00:00,230.5
2024-08-04 07:00:00+00:00,274.5
2024-08-04 08:00:00+00:00,248.65
2024-08-04 09:00:00+00:00,150.36
2024-08-04 10:00:00+00:00,983.37
2024-08-04 11:00:00+00:00,159.63
2024-08-04 12:00:00+00:00,173.4
2024-08-04 13:00:00+00:00,211.55
2024-08-04 14:00:00+00:00,777.67
2024-08-04 15:00:00+00:00,358.07
2024-08-04 16:00:00+00:00,399.1
2024-08-04 17:00:00+00:00,848.2
2024-08-04 18:00:00+00:00,218.3
2024-08-04 19:00:00+00:00,267.47
2024-08-04 20:00:00+00:00,279.83
2024-08-04 21:00:00+00:00,232.53
2024-08-04 22:00:00+00:00,114.95
2024-08-04 23:00:00+00:00,100.27
2024-08-05 00:00:00+00:00,98.92
2024-08-05 01:00:00+00:00,105.42
2024-08-05 02:00:00+00:00,122.23
2024-08-05 03:00:00+00:00,119.98
2024-08-05 04:00:00+00:00,113.55
2024-08-05 05:00:00+00:00,174.28
2024-08-05 06:00:00+00:00,243.67
2024-08-05 07:00:00+00:00,181.1
2024-08-05 08:00:00+00:00,191.76
2024-08-05 10:00:00+00:00,270.35
2024-08-05 11:00:00+00:00,221.35
2024-08-05 12:00:00+00:00,250.32
2024-08-05 13:00:00+00:00,130.57
2024-08-05 14:00:00+00:00,134.8
2024-08-05 16:00:00+00:00,74.86
2024-08-05 17:00:00+00:00,160.98
